"Date","Price","Open","High","Low","Change %"
"Oct 14, 2020","1,900.89","1,891.90","1,913.03","1,882.44","0.53%"
"Oct 13, 2020","1,890.82","1,922.42","1,925.73","1,886.59","-1.62%"
"Oct 12, 2020","1,921.95","1,930.50","1,933.45","1,918.19","-0.39%"
"Oct 09, 2020","1,929.43","1,894.19","1,930.83","1,893.32","1.92%"
"Oct 08, 2020","1,893.09","1,887.40","1,900.73","1,881.86","0.31%"
"Oct 07, 2020","1,887.22","1,878.84","1,898.31","1,873.05","0.54%"
"Oct 06, 2020","1,877.13","1,913.28","1,921.10","1,874.57","-1.87%"
"Oct 05, 2020","1,912.90","1,902.24","1,918.74","1,886.81","0.75%"
"Oct 02, 2020","1,898.70","1,905.65","1,917.28","1,889.57","-0.33%"
"Oct 01, 2020","1,905.05","1,885.80","1,912.09","1,884.48","1.04%"
"Sep 30, 2020","1,885.44","1,897.81","1,902.39","1,881.31","-0.65%"
"Sep 29, 2020","1,897.69","1,881.40","1,899.24","1,875.56","0.90%"
"Sep 28, 2020","1,880.85","1,859.00","1,883.39","1,849.19","1.12%"
"Sep 25, 2020","1,860.05","1,868.61","1,875.28","1,852.59","-0.43%"
"Sep 24, 2020","1,868.04","1,863.42","1,877.30","1,848.45","0.24%"
"Sep 23, 2020","1,863.55","1,900.20","1,905.56","1,855.77","-1.88%"
"Sep 22, 2020","1,899.28","1,912.80","1,919.99","1,894.93","-0.69%"
"Sep 21, 2020","1,912.57","1,949.55","1,955.75","1,883.21","-1.90%"
"Sep 18, 2020","1,949.69","1,943.87","1,960.20","1,941.79","0.37%"
"Sep 17, 2020","1,942.60","1,959.99","1,963.48","1,932.99","-0.85%"
"Sep 16, 2020","1,959.32","1,956.19","1,973.63","1,949.89","0.19%"
"Sep 15, 2020","1,955.52","1,957.31","1,972.35","1,948.64","-0.04%"
"Sep 14, 2020","1,956.37","1,941.05","1,962.52","1,937.46","0.77%"
"Sep 11, 2020","1,941.50","1,955.20","1,957.95","1,937.42","-0.64%"
"Sep 10, 2020","1,954.07","1,946.06","1,966.50","1,941.42","0.38%"
"Sep 09, 2020","1,946.66","1,932.26","1,950.95","1,920.20","0.81%"
"Sep 08, 2020","1,930.93","1,930.05","1,940.84","1,906.67","0.11%"
"Sep 07, 2020","1,928.82","1,931.24","1,941.44","1,924.57","-0.19%"
"Sep 04, 2020","1,932.45","1,931.51","1,942.25","1,916.67","0.10%"
"Sep 03, 2020","1,930.52","1,943.06","1,951.19","1,921.99","-0.62%"
"Sep 02, 2020","1,942.62","1,969.75","1,974.45","1,932.76","-1.40%"
"Sep 01, 2020","1,970.14","1,967.63","1,992.38","1,963.20","0.02%"
"Aug 31, 2020","1,969.75","1,965.40","1,976.47","1,954.58","0.27%"
"Aug 28, 2020","1,964.49","1,930.04","1,973.91","1,923.70","1.84%"
"Aug 27, 2020","1,928.91","1,953.31","1,976.60","1,910.22","-1.26%"
"Aug 26, 2020","1,953.45","1,929.07","1,954.98","1,902.77","1.32%"
"Aug 25, 2020","1,927.94","1,933.06","1,937.69","1,914.42","-0.23%"
"Aug 24, 2020","1,932.45","1,939.24","1,961.89","1,924.01","-0.36%"
"Aug 21, 2020","1,939.40","1,947.44","1,956.08","1,911.65","-0.16%"
"Aug 20, 2020","1,942.60","1,929.53","1,955.44","1,925.12","0.68%"
"Aug 19, 2020","1,929.54","2,001.19","2,006.68","1,924.82","-3.57%"
"Aug 18, 2020","2,000.95","1,985.89","2,015.45","1,977.84","0.78%"
"Aug 17, 2020","1,985.53","1,947.04","1,990.65","1,929.74","2.15%"
"Aug 14, 2020","1,943.76","1,953.70","1,962.84","1,932.65","-0.48%"
"Aug 13, 2020","1,953.03","1,920.90","1,966.43","1,912.93","1.84%"
"Aug 12, 2020","1,917.82","1,912.00","1,949.45","1,864.30","0.34%"
"Aug 11, 2020","1,911.25","2,027.34","2,032.19","1,901.69","-5.72%"
"Aug 10, 2020","2,027.26","2,034.19","2,050.01","2,019.41","-0.36%"
"Aug 07, 2020","2,034.62","2,065.11","2,073.41","2,015.55","-1.38%"
"Aug 06, 2020","2,063.19","2,040.40","2,069.77","2,034.71","1.17%"
"Aug 05, 2020","2,039.40","2,018.98","2,055.68","2,009.77","1.06%"
"Aug 04, 2020","2,018.07","1,976.99","2,019.88","1,968.50","2.09%"
"Aug 03, 2020","1,976.70","1,980.98","1,985.28","1,960.40","0.10%"
"Jul 31, 2020","1,974.69","1,960.51","1,980.45","1,955.40","0.78%"
"Jul 30, 2020","1,959.50","1,970.90","1,971.87","1,939.67","-0.55%"
"Jul 29, 2020","1,970.37","1,959.60","1,980.80","1,944.97","0.58%"
"Jul 28, 2020","1,958.93","1,942.64","1,981.22","1,907.70","0.88%"
"Jul 27, 2020","1,941.88","1,899.99","1,945.71","1,899.73","2.15%"
"Jul 24, 2020","1,900.97","1,887.34","1,906.54","1,881.56","0.75%"
"Jul 23, 2020","1,886.86","1,872.39","1,898.40","1,862.80","0.81%"
"Jul 22, 2020","1,871.75","1,842.20","1,872.64","1,840.75","1.64%"
"Jul 21, 2020","1,841.58","1,815.89","1,843.89","1,815.57","1.44%"
"Jul 20, 2020","1,815.40","1,809.58","1,820.73","1,805.60","0.36%"
"Jul 17, 2020","1,808.90","1,797.30","1,812.03","1,795.11","0.68%"
"Jul 16, 2020","1,796.63","1,811.90","1,813.74","1,795.02","-0.81%"
"Jul 15, 2020","1,811.31","1,807.80","1,814.79","1,802.72","0.21%"
"Jul 14, 2020","1,807.53","1,803.19","1,811.03","1,791.46","0.27%"
"Jul 13, 2020","1,802.71","1,799.01","1,813.45","1,798.01","0.24%"
"Jul 10, 2020","1,798.31","1,802.13","1,810.76","1,794.28","-0.25%"
"Jul 09, 2020","1,802.82","1,811.30","1,816.26","1,795.82","-0.40%"
"Jul 08, 2020","1,810.12","1,795.27","1,818.13","1,791.62","0.88%"
"Jul 07, 2020","1,794.26","1,783.91","1,797.59","1,773.79","0.60%"
"Jul 06, 2020","1,783.56","1,776.31","1,787.09","1,770.13","0.49%"
"Jul 03, 2020","1,774.79","1,774.77","1,777.43","1,772.48","-0.02%"
"Jul 02, 2020","1,775.14","1,769.60","1,779.83","1,757.68","0.29%"
"Jul 01, 2020","1,770.01","1,781.60","1,789.48","1,759.27","-0.60%"
"Jun 30, 2020","1,780.67","1,771.90","1,786.02","1,765.35","0.52%"
"Jun 29, 2020","1,771.49","1,773.74","1,775.72","1,765.78","0.05%"
"Jun 26, 2020","1,770.62","1,761.82","1,772.12","1,747.67","0.52%"
"Jun 25, 2020","1,761.49","1,760.32","1,769.04","1,755.49","0.00%"
"Jun 24, 2020","1,761.43","1,768.99","1,779.61","1,760.80","-0.29%"
"Jun 23, 2020","1,766.51","1,755.26","1,771.25","1,747.43","0.69%"
"Jun 22, 2020","1,754.46","1,748.78","1,763.42","1,743.27","0.67%"
"Jun 19, 2020","1,742.84","1,723.69","1,745.36","1,721.18","1.17%"
"Jun 18, 2020","1,722.62","1,726.30","1,737.17","1,717.57","-0.21%"
"Jun 17, 2020","1,726.29","1,727.71","1,730.41","1,713.22","-0.04%"
"Jun 16, 2020","1,726.96","1,725.55","1,733.12","1,716.43","0.14%"
"Jun 15, 2020","1,724.61","1,732.32","1,734.53","1,704.31","-0.30%"
"Jun 12, 2020","1,729.77","1,728.34","1,743.16","1,722.57","0.15%"
"Jun 11, 2020","1,727.15","1,737.01","1,744.92","1,721.58","-0.52%"
"Jun 10, 2020","1,736.24","1,714.80","1,740.06","1,708.47","1.28%"
"Jun 09, 2020","1,714.32","1,700.49","1,721.04","1,692.20","1.16%"
"Jun 08, 2020","1,694.60","1,684.65","1,700.90","1,677.52","0.56%"
"Jun 05, 2020","1,685.23","1,711.81","1,717.25","1,670.74","-1.48%"
"Jun 04, 2020","1,710.62","1,699.89","1,721.62","1,696.90","0.77%"
"Jun 03, 2020","1,697.51","1,728.10","1,733.80","1,689.54","-1.71%"
"Jun 02, 2020","1,727.05","1,740.34","1,745.26","1,721.40","-0.74%"
"Jun 01, 2020","1,740.00","1,738.05","1,744.84","1,727.26","0.79%"
"May 29, 2020","1,726.30","1,721.70","1,737.71","1,712.53","0.45%"
"May 28, 2020","1,718.50","1,709.04","1,727.52","1,707.11","0.56%"
"May 27, 2020","1,708.87","1,712.47","1,716.37","1,693.82","-0.14%"
"May 26, 2020","1,711.25","1,728.82","1,736.07","1,708.30","-1.04%"
"May 25, 2020","1,729.19","1,734.61","1,736.01","1,721.45","-0.28%"
"May 22, 2020","1,734.07","1,725.26","1,740.07","1,723.62","0.51%"
"May 21, 2020","1,725.21","1,749.52","1,751.01","1,717.10","-1.36%"
"May 20, 2020","1,748.98","1,745.92","1,754.77","1,741.89","0.30%"
"May 19, 2020","1,743.81","1,732.31","1,748.76","1,725.66","0.68%"
"May 18, 2020","1,732.07","1,743.01","1,765.94","1,727.20","-0.51%"
"May 15, 2020","1,741.00","1,730.52","1,752.13","1,727.93","0.68%"
"May 14, 2020","1,729.27","1,715.63","1,737.41","1,710.51","0.82%"
"May 13, 2020","1,715.29","1,702.50","1,719.02","1,698.81","0.77%"
"May 12, 2020","1,702.14","1,697.04","1,711.79","1,693.17","0.36%"
"May 11, 2020","1,695.98","1,702.65","1,712.64","1,691.59","-0.27%"
"May 08, 2020","1,700.65","1,717.46","1,723.91","1,701.06","-0.99%"
"May 07, 2020","1,717.69","1,686.08","1,723.06","1,683.50","1.90%"
"May 06, 2020","1,685.63","1,707.51","1,709.34","1,682.28","-1.19%"
"May 05, 2020","1,705.96","1,700.82","1,712.90","1,691.45","0.27%"
"May 04, 2020","1,701.44","1,699.00","1,712.57","1,691.84","0.14%"
"May 01, 2020","1,699.12","1,685.95","1,706.53","1,670.06","1.13%"
"Apr 30, 2020","1,680.09","1,712.27","1,723.17","1,680.64","-1.82%"
"Apr 29, 2020","1,711.25","1,708.30","1,717.76","1,697.55","0.22%"
"Apr 28, 2020","1,707.51","1,715.31","1,716.04","1,691.63","-0.39%"
"Apr 27, 2020","1,714.20","1,726.15","1,727.93","1,705.68","-0.77%"
"Apr 24, 2020","1,727.43","1,731.57","1,737.44","1,710.21","-0.23%"
"Apr 23, 2020","1,731.33","1,713.56","1,739.74","1,706.26","1.04%"
"Apr 22, 2020","1,713.45","1,687.10","1,719.65","1,680.09","1.64%"
"Apr 21, 2020","1,685.72","1,694.11","1,698.60","1,661.39","-0.43%"
"Apr 20, 2020","1,692.92","1,692.25","1,703.46","1,671.49","0.52%"
"Apr 17, 2020","1,684.19","1,715.99","1,719.12","1,679.37","-1.95%"
"Apr 16, 2020","1,717.68","1,716.46","1,739.17","1,707.88","0.11%"
"Apr 15, 2020","1,715.71","1,728.80","1,732.27","1,707.71","-0.69%"
"Apr 14, 2020","1,727.70","1,712.34","1,747.85","1,708.55","0.80%"
"Apr 13, 2020","1,714.07","1,685.69","1,723.88","1,674.87","1.49%"
"Apr 10, 2020","1,688.90","1,676.00","1,697.50","1,676.00","0.30%"
"Apr 09, 2020","1,683.82","1,646.08","1,691.17","1,643.10","2.31%"
"Apr 08, 2020","1,645.77","1,647.59","1,657.69","1,641.94","-0.16%"
"Apr 07, 2020","1,648.47","1,663.03","1,673.55","1,641.89","-0.80%"
"Apr 06, 2020","1,661.70","1,597.50","1,669.97","1,597.50","2.80%"
"Apr 03, 2020","1,616.45","1,615.09","1,626.07","1,606.30","0.25%"
"Apr 02, 2020","1,612.41","1,590.52","1,621.15","1,579.04","1.37%"
"Apr 01, 2020","1,590.59","1,571.00","1,603.41","1,566.97","1.24%"
"Mar 31, 2020","1,571.05","1,618.49","1,626.27","1,566.23","-3.14%"
"Mar 30, 2020","1,621.93","1,622.00","1,639.61","1,608.72","0.27%"
"Mar 27, 2020","1,617.50","1,632.38","1,637.86","1,612.22","-0.70%"
"Mar 26, 2020","1,628.97","1,617.25","1,647.28","1,595.84","0.97%"
"Mar 25, 2020","1,613.29","1,628.19","1,643.05","1,587.20","0.20%"
"Mar 24, 2020","1,610.03","1,553.71","1,638.72","1,553.41","3.67%"
"Mar 23, 2020","1,553.06","1,508.15","1,561.48","1,485.10","3.70%"
"Mar 20, 2020","1,497.64","1,470.54","1,516.25","1,460.30","1.89%"
"Mar 19, 2020","1,469.80","1,485.90","1,501.05","1,464.18","-1.09%"
"Mar 18, 2020","1,486.00","1,527.70","1,546.22","1,472.86","-2.77%"
"Mar 17, 2020","1,528.28","1,512.45","1,553.26","1,465.81","0.95%"
"Mar 16, 2020","1,513.91","1,550.55","1,573.49","1,451.50","-1.01%"
"Mar 13, 2020","1,529.31","1,576.95","1,597.72","1,506.86","-3.01%"
"Mar 12, 2020","1,576.79","1,634.80","1,650.47","1,561.01","-3.53%"
"Mar 11, 2020","1,634.53","1,649.69","1,671.13","1,632.97","-0.88%"
"Mar 10, 2020","1,649.07","1,679.10","1,680.53","1,642.15","-1.82%"
"Mar 09, 2020","1,679.60","1,694.40","1,702.96","1,657.74","0.34%"
"Mar 06, 2020","1,673.85","1,670.58","1,692.10","1,648.12","0.21%"
"Mar 05, 2020","1,670.31","1,635.91","1,674.69","1,635.07","2.13%"
"Mar 04, 2020","1,635.45","1,639.76","1,651.65","1,632.06","-0.25%"
"Mar 03, 2020","1,639.47","1,590.77","1,649.55","1,587.86","3.08%"
"Mar 02, 2020","1,590.43","1,591.10","1,611.03","1,579.70","0.36%"
"Feb 28, 2020","1,584.74","1,642.15","1,649.48","1,565.86","-3.48%"
"Feb 27, 2020","1,641.95","1,640.55","1,660.57","1,635.65","0.14%"
"Feb 26, 2020","1,639.58","1,635.37","1,655.09","1,625.79","0.27%"
"Feb 25, 2020","1,635.08","1,660.72","1,660.86","1,629.10","-1.53%"
"Feb 24, 2020","1,660.42","1,659.05","1,689.11","1,652.37","1.04%"
"Feb 21, 2020","1,643.32","1,619.69","1,649.15","1,618.94","1.48%"
"Feb 20, 2020","1,619.41","1,611.71","1,623.79","1,603.98","0.50%"
"Feb 19, 2020","1,611.34","1,601.85","1,613.04","1,599.53","0.60%"
"Feb 18, 2020","1,601.67","1,583.44","1,605.45","1,583.09","1.32%"
"Feb 17, 2020","1,580.80","1,584.70","1,584.81","1,578.60","-0.22%"
"Feb 14, 2020","1,584.32","1,576.30","1,585.05","1,573.12","0.52%"
"Feb 13, 2020","1,576.09","1,565.62","1,578.24","1,565.53","0.69%"
"Feb 12, 2020","1,565.33","1,567.73","1,570.59","1,561.80","-0.13%"
"Feb 11, 2020","1,567.42","1,572.09","1,574.17","1,562.29","-0.29%"
"Feb 10, 2020","1,571.90","1,570.29","1,577.23","1,568.01","0.13%"
"Feb 07, 2020","1,569.91","1,566.86","1,574.18","1,562.39","0.21%"
"Feb 06, 2020","1,566.56","1,556.95","1,568.55","1,552.46","0.65%"
"Feb 05, 2020","1,556.41","1,552.56","1,562.50","1,547.40","0.27%"
"Feb 04, 2020","1,552.26","1,576.40","1,579.57","1,549.14","-1.51%"
"Feb 03, 2020","1,576.05","1,590.20","1,591.84","1,571.29","-0.87%"
"Jan 31, 2020","1,589.81","1,574.18","1,590.21","1,570.84","1.01%"
"Jan 30, 2020","1,573.92","1,577.09","1,586.16","1,572.65","-0.18%"
"Jan 29, 2020","1,576.72","1,566.19","1,578.04","1,563.21","0.69%"
"Jan 28, 2020","1,565.86","1,581.95","1,583.27","1,565.65","-1.00%"
"Jan 27, 2020","1,581.65","1,580.10","1,586.81","1,575.81","0.72%"
"Jan 24, 2020","1,570.36","1,563.30","1,576.01","1,556.42","0.47%"
"Jan 23, 2020","1,563.03","1,558.93","1,568.17","1,551.68","0.28%"
"Jan 22, 2020","1,558.62","1,558.03","1,559.63","1,550.08","0.06%"
"Jan 21, 2020","1,557.73","1,560.94","1,568.75","1,546.41","-0.23%"
"Jan 20, 2020","1,561.28","1,558.65","1,563.00","1,556.39","0.32%"
"Jan 17, 2020","1,556.22","1,552.90","1,561.45","1,549.36","0.24%"
"Jan 16, 2020","1,552.54","1,556.18","1,558.19","1,548.05","-0.22%"
"Jan 15, 2020","1,555.94","1,546.40","1,558.44","1,546.11","0.63%"
"Jan 14, 2020","1,546.12","1,548.31","1,548.95","1,536.12","-0.12%"
"Jan 13, 2020","1,548.05","1,562.29","1,562.30","1,546.77","-0.90%"
"Jan 10, 2020","1,562.03","1,552.40","1,563.27","1,545.52","0.63%"
"Jan 09, 2020","1,552.27","1,555.76","1,561.67","1,540.18","-0.22%"
"Jan 08, 2020","1,555.71","1,573.99","1,611.15","1,552.23","-1.15%"
"Jan 07, 2020","1,573.89","1,565.93","1,577.53","1,555.29","0.51%"
"Jan 06, 2020","1,565.86","1,561.15","1,583.44","1,560.90","0.93%"
"Jan 03, 2020","1,551.40","1,528.95","1,553.70","1,528.00","1.48%"
"Jan 02, 2020","1,528.85","1,517.24","1,531.55","1,517.22","0.79%"
"Jan 01, 2020","1,516.89","1,517.24","1,517.48","1,517.19","-0.01%"
"Dec 31, 2019","1,517.01","1,515.22","1,525.45","1,514.66","0.12%"
"Dec 30, 2019","1,515.12","1,511.80","1,516.54","1,510.43","0.31%"
"Dec 27, 2019","1,510.42","1,511.55","1,515.47","1,507.05","-0.06%"
"Dec 26, 2019","1,511.30","1,499.42","1,512.77","1,497.66","0.85%"
"Dec 25, 2019","1,498.60","1,499.55","1,499.55","1,499.55","-0.01%"
"Dec 24, 2019","1,498.81","1,485.57","1,500.77","1,484.41","0.91%"
"Dec 23, 2019","1,485.27","1,478.20","1,486.29","1,477.51","0.50%"
"Dec 20, 2019","1,477.95","1,479.14","1,481.26","1,475.70","-0.07%"
"Dec 19, 2019","1,479.05","1,475.44","1,481.97","1,473.01","0.26%"
"Dec 18, 2019","1,475.19","1,476.45","1,479.67","1,470.32","-0.07%"
"Dec 17, 2019","1,476.20","1,476.25","1,480.78","1,474.23","0.01%"
"Dec 16, 2019","1,476.00","1,475.60","1,480.03","1,472.99","0.03%"
"Dec 13, 2019","1,475.56","1,469.47","1,478.22","1,462.48","0.42%"
"Dec 12, 2019","1,469.33","1,474.85","1,486.95","1,464.78","-0.37%"
"Dec 11, 2019","1,474.75","1,464.19","1,479.04","1,462.59","0.74%"
"Dec 10, 2019","1,463.96","1,461.93","1,469.36","1,459.80","0.14%"
"Dec 09, 2019","1,461.89","1,459.49","1,465.80","1,458.76","0.16%"
"Dec 06, 2019","1,459.51","1,475.70","1,477.45","1,458.61","-1.09%"
"Dec 05, 2019","1,475.60","1,474.34","1,480.72","1,472.90","0.10%"
"Dec 04, 2019","1,474.10","1,477.34","1,484.55","1,471.39","-0.21%"
"Dec 03, 2019","1,477.24","1,462.50","1,482.22","1,459.39","1.02%"
"Dec 02, 2019","1,462.34","1,467.03","1,467.03","1,453.91","-0.11%"
"Nov 29, 2019","1,463.90","1,455.90","1,466.81","1,452.93","0.40%"
"Nov 28, 2019","1,458.09","1,456.77","1,458.57","1,454.37","0.26%"
"Nov 27, 2019","1,454.25","1,461.65","1,462.11","1,452.45","-0.48%"
"Nov 26, 2019","1,461.20","1,454.98","1,462.97","1,450.63","0.43%"
"Nov 25, 2019","1,454.87","1,462.29","1,462.41","1,453.89","-0.49%"
"Nov 22, 2019","1,462.04","1,464.40","1,473.30","1,461.23","-0.14%"
"Nov 21, 2019","1,464.15","1,471.25","1,475.98","1,462.60","-0.48%"
"Nov 20, 2019","1,471.15","1,472.39","1,479.15","1,465.88","-0.08%"
"Nov 19, 2019","1,472.28","1,470.85","1,475.72","1,464.60","0.10%"
"Nov 18, 2019","1,470.75","1,467.66","1,474.30","1,456.26","0.25%"
"Nov 15, 2019","1,467.12","1,471.20","1,471.49","1,462.28","-0.26%"
"Nov 14, 2019","1,470.95","1,463.18","1,474.62","1,460.93","0.55%"
"Nov 13, 2019","1,462.94","1,457.19","1,467.36","1,455.96","0.41%"
"Nov 12, 2019","1,456.94","1,455.79","1,460.55","1,445.61","0.09%"
"Nov 11, 2019","1,455.65","1,458.96","1,466.77","1,448.28","-0.19%"
"Nov 08, 2019","1,458.41","1,468.01","1,473.33","1,456.28","-0.64%"
"Nov 07, 2019","1,467.82","1,490.44","1,492.48","1,461.24","-1.51%"
"Nov 06, 2019","1,490.36","1,484.10","1,494.46","1,482.45","0.43%"
"Nov 05, 2019","1,484.00","1,509.64","1,510.10","1,479.65","-1.67%"
"Nov 04, 2019","1,509.24","1,513.80","1,514.97","1,504.33","-0.28%"
"Nov 01, 2019","1,513.55","1,513.32","1,515.81","1,503.31","0.03%"
"Oct 31, 2019","1,513.16","1,496.40","1,514.53","1,493.72","1.20%"
"Oct 30, 2019","1,495.20","1,487.60","1,496.91","1,481.21","0.52%"
"Oct 29, 2019","1,487.40","1,492.69","1,495.16","1,483.72","-0.34%"
"Oct 28, 2019","1,492.44","1,504.34","1,508.58","1,489.86","-0.79%"
"Oct 25, 2019","1,504.33","1,504.75","1,518.07","1,500.56","0.07%"
"Oct 24, 2019","1,503.25","1,492.15","1,504.27","1,488.02","0.76%"
"Oct 23, 2019","1,491.85","1,488.35","1,496.50","1,487.62","0.28%"
"Oct 22, 2019","1,487.65","1,484.52","1,489.29","1,480.87","0.23%"
"Oct 21, 2019","1,484.25","1,492.02","1,495.48","1,481.91","-0.37%"
"Oct 18, 2019","1,489.70","1,492.17","1,494.26","1,484.82","-0.13%"
"Oct 17, 2019","1,491.64","1,490.55","1,497.50","1,483.45","0.15%"
"Oct 16, 2019","1,489.37","1,481.13","1,491.65","1,477.06","0.57%"
"Oct 15, 2019","1,480.92","1,493.20","1,498.17","1,477.53","-0.80%"
"Oct 14, 2019","1,492.80","1,488.90","1,497.38","1,482.82","0.22%"
"Oct 11, 2019","1,489.45","1,494.44","1,503.45","1,474.28","-0.30%"
"Oct 10, 2019","1,494.00","1,505.60","1,517.08","1,491.42","-0.75%"
"Oct 09, 2019","1,505.30","1,506.05","1,511.60","1,499.70","0.00%"
"Oct 08, 2019","1,505.26","1,493.55","1,508.71","1,487.45","0.80%"
"Oct 07, 2019","1,493.35","1,504.76","1,509.64","1,489.94","-0.73%"
"Oct 04, 2019","1,504.35","1,505.19","1,511.17","1,497.15","-0.03%"
"Oct 03, 2019","1,504.75","1,499.55","1,518.81","1,495.99","0.37%"
"Oct 02, 2019","1,499.26","1,479.19","1,505.11","1,474.42","1.40%"
"Oct 01, 2019","1,478.58","1,472.30","1,487.37","1,459.00","0.45%"
"Sep 30, 2019","1,472.00","1,497.07","1,500.50","1,464.42","-1.64%"
"Sep 27, 2019","1,496.56","1,506.00","1,507.70","1,487.04","-0.60%"
"Sep 26, 2019","1,505.60","1,503.94","1,512.70","1,501.97","0.12%"
"Sep 25, 2019","1,503.75","1,532.00","1,535.42","1,501.31","-1.83%"
"Sep 24, 2019","1,531.80","1,522.40","1,535.85","1,515.80","0.65%"
"Sep 23, 2019","1,521.86","1,516.66","1,527.25","1,511.50","0.34%"
"Sep 20, 2019","1,516.75","1,499.40","1,517.24","1,497.90","1.18%"
"Sep 19, 2019","1,499.00","1,494.00","1,504.35","1,488.90","0.36%"
"Sep 18, 2019","1,493.65","1,501.55","1,511.32","1,484.36","-0.57%"
"Sep 17, 2019","1,502.20","1,498.85","1,507.48","1,493.36","0.29%"
"Sep 16, 2019","1,497.90","1,503.34","1,512.20","1,495.75","0.63%"
"Sep 13, 2019","1,488.45","1,498.50","1,509.25","1,485.73","-0.68%"
"Sep 12, 2019","1,498.70","1,497.50","1,523.96","1,488.80","0.09%"
"Sep 11, 2019","1,497.30","1,486.45","1,498.56","1,485.00","0.79%"
"Sep 10, 2019","1,485.50","1,499.00","1,501.45","1,484.27","-0.88%"
"Sep 09, 2019","1,498.65","1,507.10","1,515.55","1,497.72","-0.53%"
"Sep 06, 2019","1,506.70","1,519.20","1,527.90","1,502.89","-0.82%"
"Sep 05, 2019","1,519.10","1,552.50","1,553.38","1,509.39","-2.14%"
"Sep 04, 2019","1,552.35","1,547.10","1,557.38","1,533.81","0.37%"
"Sep 03, 2019","1,546.70","1,529.60","1,549.90","1,521.51","1.07%"
"Sep 02, 2019","1,530.34","1,520.10","1,533.81","1,519.15","0.69%"
"Aug 30, 2019","1,519.85","1,527.60","1,533.45","1,517.43","-0.49%"
"Aug 29, 2019","1,527.40","1,539.20","1,550.72","1,519.50","-0.74%"
"Aug 28, 2019","1,538.80","1,541.80","1,547.03","1,531.55","-0.23%"
"Aug 27, 2019","1,542.40","1,526.30","1,544.78","1,524.85","1.07%"
"Aug 26, 2019","1,526.00","1,539.30","1,555.13","1,524.55","-0.01%"
"Aug 23, 2019","1,526.10","1,499.00","1,530.11","1,493.05","1.84%"
"Aug 22, 2019","1,498.60","1,502.20","1,504.68","1,491.85","-0.23%"
"Aug 21, 2019","1,502.00","1,507.70","1,508.40","1,496.15","-0.32%"
"Aug 20, 2019","1,506.85","1,495.60","1,508.60","1,492.85","0.79%"
"Aug 19, 2019","1,495.00","1,511.15","1,513.00","1,492.65","-1.24%"
"Aug 16, 2019","1,513.75","1,523.90","1,527.75","1,504.20","-0.60%"
"Aug 15, 2019","1,522.95","1,517.05","1,527.00","1,508.22","0.45%"
"Aug 14, 2019","1,516.08","1,501.38","1,524.30","1,494.34","1.00%"
"Aug 13, 2019","1,501.14","1,510.74","1,534.75","1,481.38","-0.66%"
"Aug 12, 2019","1,511.16","1,497.65","1,517.95","1,487.91","0.96%"
"Aug 09, 2019","1,496.84","1,501.20","1,508.40","1,494.69","-0.21%"
"Aug 08, 2019","1,500.00","1,501.50","1,509.72","1,490.08","-0.05%"
"Aug 07, 2019","1,500.80","1,474.25","1,510.28","1,472.28","1.83%"
"Aug 06, 2019","1,473.87","1,464.00","1,475.04","1,456.61","0.70%"
"Aug 05, 2019","1,463.60","1,440.65","1,470.05","1,437.03","1.61%"
"Aug 02, 2019","1,440.45","1,445.80","1,448.23","1,430.20","-0.32%"
"Aug 01, 2019","1,445.06","1,411.34","1,445.98","1,400.65","2.23%"
"Jul 31, 2019","1,413.55","1,431.05","1,433.07","1,411.42","-1.19%"
"Jul 30, 2019","1,430.60","1,426.84","1,433.12","1,422.12","0.27%"
"Jul 29, 2019","1,426.69","1,419.49","1,428.46","1,416.98","0.59%"
"Jul 26, 2019","1,418.31","1,414.40","1,424.83","1,413.72","0.30%"
"Jul 25, 2019","1,414.13","1,426.30","1,433.84","1,411.08","-0.82%"
"Jul 24, 2019","1,425.80","1,417.55","1,429.55","1,416.43","0.62%"
"Jul 23, 2019","1,416.99","1,425.15","1,429.25","1,414.29","-0.54%"
"Jul 22, 2019","1,424.72","1,425.15","1,429.77","1,422.34","-0.01%"
"Jul 19, 2019","1,424.91","1,446.40","1,452.96","1,420.40","-1.46%"
"Jul 18, 2019","1,446.00","1,426.80","1,448.35","1,414.68","1.36%"
"Jul 17, 2019","1,426.60","1,406.59","1,427.00","1,400.18","1.47%"
"Jul 16, 2019","1,405.93","1,415.05","1,418.34","1,401.23","-0.55%"
"Jul 15, 2019","1,413.68","1,415.75","1,419.75","1,407.69","-0.13%"
"Jul 12, 2019","1,415.49","1,403.90","1,417.09","1,403.12","0.85%"
"Jul 11, 2019","1,403.60","1,419.20","1,426.21","1,401.58","-1.07%"
"Jul 10, 2019","1,418.80","1,397.80","1,419.21","1,389.88","1.50%"
"Jul 09, 2019","1,397.80","1,395.60","1,400.13","1,386.35","0.19%"
"Jul 08, 2019","1,395.20","1,400.05","1,408.03","1,391.79","-0.31%"
"Jul 05, 2019","1,399.55","1,415.80","1,424.24","1,386.97","-1.11%"
"Jul 04, 2019","1,415.19","1,419.59","1,422.02","1,410.43","-0.24%"
"Jul 03, 2019","1,418.54","1,419.95","1,436.29","1,412.52","0.02%"
"Jul 02, 2019","1,418.19","1,383.55","1,419.80","1,383.55","2.47%"
"Jul 01, 2019","1,384.06","1,392.83","1,397.69","1,381.84","-1.78%"
